SERIES_ID,SERIES,SERIES_DESC,INDICATOR,TIME_PERIOD,TIME_PERIOD_AS_DATE,GEO_AREA_NAME,REF_AREA_ISO3,OBS_VALUE,LOWER_BOUND,UPPER_BOUND,TIME_DETAIL,SOURCE_DETAIL,CUST_BREAKDOWN_LB,COMMENT_OBS,SEX,AGE,COMPOSITE_BREAKDOWN,ACTIVITY,PRODUCT,BIOCLIMATIC_BELT,UNIT_MEASURE,URBANISATION,OBSERVATION_STATUS,NATURE,FREQUENCY,REPORTING_TYPE
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Senegal,SEN,-0.8,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Zimbabwe,ZWE,-0.88,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Botswana,BWA,-0.54,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Thailand,THA,-0.16,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Comoros,COM,0.72,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Romania,ROU,-0.37,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Samoa,WSM,-0.85,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Türkiye,TUR,0.85,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Philippines,PHL,0.81,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,United Kingdom of Great Britain and Northern Ireland,GBR,-1.44,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Burkina Faso,BFA,-0.98,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Republic of Moldova,MDA,0.38,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Timor-Leste,TLS,-0.38,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Åland Islands,ALA,-0.29,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Liberia,LBR,-0.5,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Dominica,DMA,-1.1,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Portugal,PRT,-0.19,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
3027.0,AG_FPA_CFPI,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index [2.c.1]",2.c.1,2014,2014-01-01,Australia,AUS,0.19,,,2014,FAOSTAT Data/ Consumer Price Indices: http://www.fao.org/faostat/en/#data/CP.,Total,Abnormally high defined as IFPA>=1. Moderately high defined as 0.5=<IFPA< 1. Twelve month average of monthly price anomalies,,All age ranges or no breakdown by age,No breakdown,No breakdown,,No breakdown,,,,Global monitoring data,,
